"id","host_since","host_is_superhost","host_listings_count","latitude","longitude","room_type","accommodates","bathrooms","bedrooms","price","cleaning_fee","guests_included","extra_people","number_of_reviews","review_scores_rating"
15400,2009-12-05,TRUE,1,51.48796,-0.16898,"Entire home/apt",2,1,1,"$100.00","$50.00",2,"$0.00",85,96
17402,2010-01-04,TRUE,19,51.52098,-0.14002,"Entire home/apt",6,2,3,"$300.00","$65.00",4,"$10.00",41,94
25123,2010-04-05,TRUE,3,51.57224,-0.20906,"Private room",2,1.5,1,"$29.00","$0.00",1,"$8.00",122,95
31361,2010-05-29,TRUE,2,51.53484,0.02707,"Private room",2,1.5,1,"$34.00","$10.00",1,"$12.00",115,97
38610,2010-07-13,TRUE,2,51.50819,-0.23284,"Entire home/apt",10,2,5,"$296.00","$60.00",6,"$18.00",27,98
41311,2010-04-05,TRUE,3,51.57375,-0.2089,"Private room",2,1.5,1,"$25.00","$0.00",1,"$8.00",77,98
41509,2010-07-26,TRUE,2,51.49157,-0.256,"Private room",4,1,1,"$49.00","$15.00",1,"$20.00",67,89
41712,2010-07-27,TRUE,2,51.50205,-0.10015,"Private room",1,1,2,"$60.00","$14.00",1,"$35.00",87,93
42001,2010-07-28,TRUE,3,51.49441,-0.20479,"Private room",3,1.5,1,"$60.00","$20.00",1,"$20.00",160,96
43129,2010-08-01,TRUE,3,51.48172,-0.20957,"Private room",2,1,1,"$36.00","$20.00",1,"$20.00",187,94
43202,2010-08-02,TRUE,1,51.53033,-0.21734,"Entire home/apt",2,1,1,"$100.00","$36.00",2,"$0.00",100,96
46992,2010-08-24,TRUE,1,51.55029,-0.0519,"Private room",3,1,1,"$54.00","$12.00",2,"$15.00",189,97
47192,2010-08-25,TRUE,1,51.5297,-0.14384,"Private room",1,1,1,"$39.00","$16.00",1,"$0.00",358,95
55402,2009-11-26,TRUE,4,51.37438,-0.1177,"Entire home/apt",4,2,2,"$55.00","$50.00",4,"$0.00",2,100
55706,2010-08-24,TRUE,3,51.49588,-0.1544,"Entire home/apt",6,2,2,"$270.00","$100.00",4,"$30.00",79,98
59656,2010-08-09,TRUE,3,51.52294,-0.18421,"Private room",1,1,1,"$75.00","$40.00",1,"$20.00",187,95
65638,2010-12-17,TRUE,5,51.48624,-0.09624,"Entire home/apt",2,1,1,"$85.00","$40.00",2,"$25.00",180,95
67025,2010-08-24,TRUE,3,51.496,-0.15422,"Entire home/apt",4,1,1,"$160.00","$70.00",2,"$20.00",99,96
69198,2011-01-13,TRUE,1,51.59016,-0.09427,"Private room",1,1,1,"$30.00","$0.00",1,"$0.00",8,93
71875,2010-01-04,TRUE,19,51.52279,-0.13919,"Entire home/apt",3,1,1,"$148.00","$50.00",2,"$5.00",66,95
72913,2011-02-06,TRUE,1,51.48064,-0.11439,"Private room",2,1,1,"$45.00","$20.00",1,"$10.00",151,96
74954,2010-04-01,TRUE,2,51.4435,-0.19039,"Private room",1,1,1,"$25.00","$20.00",1,"$0.00",24,98
75120,2010-07-28,TRUE,3,51.49389,-0.20418,"Entire home/apt",12,2.5,4,"$400.00","$250.00",8,"$40.00",112,95
76440,2011-02-24,TRUE,2,51.54367,0.01051,"Private room",2,1,1,"$35.00","$0.00",1,"$10.00",206,98
76932,2010-08-09,TRUE,3,51.52506,-0.1845,"Entire home/apt",3,1,2,"$200.00","$50.00",3,"$0.00",27,95
78892,2011-03-05,TRUE,1,51.46452,-0.0797,"Private room",1,1,1,"$32.00","$0.00",1,"$0.00",54,97
80123,2011-03-09,TRUE,1,51.4533,-0.15646,"Entire home/apt",2,1,1,"$95.00","$30.00",1,"$0.00",122,98
81470,2011-03-14,TRUE,8,51.4971,-0.23354,"Entire home/apt",5,2,3,"$300.00","$120.00",1,"$0.00",77,98
